H;X2;X3;Y;X1;Z;T;JS;JL;JH;GA;GB;GC;;[D];[B2];[B1];[B0];;H,km;Q(D);Q(B2);Q(B1);Q(B0);Q(A0)
59;1.33E+15;7.25E+09;2.31E+12;7.53E+09;4.95E+15;251.3;0.00E+00;1.90E-16;8.14E-03;3.64E-09;2.33E-10;6.23E-12;;2.28E+02;4.14E+00;7.01E+02;1.55E+06;;59;2.33E+05;2.00E+03;1.56E+04;1.19E+01;2.23E-03
58;1.50E+15;8.67E+09;2.61E+12;7.70E+09;5.59E+15;254.4;0.00E+00;1.62E-17;8.06E-03;3.54E-09;2.26E-10;6.05E-12;;2.41E+02;3.89E+00;7.22E+02;1.59E+06;;58;2.61E+05;2.33E+03;1.79E+04;1.34E+01;2.51E-03
57;1.72E+15;1.15E+10;2.99E+12;7.45E+09;6.41E+15;253.1;0.00E+00;9.88E-19;7.96E-03;3.42E-09;2.19E-10;5.85E-12;;2.74E+02;3.82E+00;8.27E+02;1.74E+06;;57;3.00E+05;2.64E+03;2.04E+04;1.54E+01;2.83E-03
56;1.98E+15;1.54E+10;3.45E+12;7.09E+09;7.38E+15;251.1;0.00E+00;3.96E-20;7.83E-03;3.30E-09;2.11E-10;5.64E-12;;3.13E+02;3.76E+00;9.53E+02;1.91E+06;;56;3.47E+05;2.97E+03;2.32E+04;1.78E+01;3.20E-03
55;2.28E+15;2.06E+10;3.97E+12;6.74E+09;8.50E+15;249.4;0.00E+00;9.75E-22;7.66E-03;3.17E-09;2.02E-10;5.41E-12;;3.54E+02;3.67E+00;1.09E+03;2.10E+06;;55;4.01E+05;3.36E+03;2.65E+04;2.06E+01;3.64E-03
54;2.62E+15;2.67E+10;4.55E+12;6.32E+09;9.75E+15;248.6;0.00E+00;1.38E-23;7.44E-03;3.02E-09;1.93E-10;5.16E-12;;3.88E+02;3.53E+00;1.20E+03;2.25E+06;;54;4.61E+05;3.83E+03;3.03E+04;2.37E+01;4.13E-03
53;2.96E+15;3.11E+10;5.15E+12;6.04E+09;1.10E+16;251.6;0.00E+00;1.08E-25;7.19E-03;2.86E-09;1.83E-10;4.89E-12;;3.89E+02;3.24E+00;1.18E+03;2.23E+06;;53;5.17E+05;4.47E+03;3.48E+04;2.67E+01;4.69E-03
52;3.31E+15;3.51E+10;5.76E+12;5.94E+09;1.23E+16;256.6;0.00E+00;4.65E-28;6.91E-03;2.70E-09;1.72E-10;4.61E-12;;3.81E+02;2.89E+00;1.11E+03;2.16E+06;;52;5.73E+05;5.27E+03;4.01E+04;2.97E+01;5.31E-03
51;3.74E+15;4.45E+10;6.51E+12;5.65E+09;1.39E+16;258.7;0.00E+00;1.01E-30;6.60E-03;2.52E-09;1.61E-10;4.31E-12;;4.09E+02;2.65E+00;1.17E+03;2.27E+06;;51;6.46E+05;6.09E+03;4.58E+04;3.37E+01;6.02E-03
50;4.27E+15;5.99E+10;7.43E+12;5.11E+09;1.59E+16;258.1;0.00E+00;9.59E-34;6.21E-03;2.33E-09;1.49E-10;3.99E-12;;4.53E+02;2.47E+00;1.30E+03;2.45E+06;;50;7.39E+05;6.91E+03;5.21E+04;3.87E+01;6.83E-03
49;4.83E+15;7.47E+10;8.41E+12;4.61E+09;1.80E+16;259.5;0.00E+00;3.50E-37;5.76E-03;2.14E-09;1.37E-10;3.66E-12;;4.64E+02;2.23E+00;1.32E+03;2.46E+06;;49;8.34E+05;7.93E+03;5.94E+04;4.39E+01;7.74E-03
48;5.43E+15;8.75E+10;9.44E+12;4.24E+09;2.02E+16;263.0;0.00E+00;4.68E-41;5.27E-03;1.94E-09;1.24E-10;3.32E-12;;4.45E+02;1.95E+00;1.24E+03;2.35E+06;;48;9.31E+05;9.23E+03;6.81E+04;4.92E+01;8.79E-03
47;6.11E+15;1.06E+11;1.06E+13;3.84E+09;2.28E+16;265.2;0.00E+00;1.40E-45;4.75E-03;1.74E-09;1.11E-10;2.97E-12;;4.33E+02;1.71E+00;1.18E+03;2.25E+06;;47;1.05E+06;1.06E+04;7.75E+04;5.56E+01;9.95E-03
46;6.96E+15;1.36E+11;1.21E+13;3.35E+09;2.60E+16;264.3;0.00E+00;0.00E+00;4.20E-03;1.54E-09;9.82E-11;2.63E-12;;4.30E+02;1.52E+00;1.18E+03;2.20E+06;;46;1.20E+06;1.20E+04;8.79E+04;6.38E+01;1.13E-02
45;8.01E+15;1.80E+11;1.39E+13;2.74E+09;2.98E+16;261.2;0.00E+00;0.00E+00;3.61E-03;1.33E-09;8.54E-11;2.28E-12;;4.24E+02;1.37E+00;1.19E+03;2.15E+06;;45;1.38E+06;1.34E+04;9.95E+04;7.37E+01;1.28E-02
44;9.19E+15;2.31E+11;1.60E+13;1.95E+09;3.42E+16;259.2;0.00E+00;0.00E+00;3.00E-03;1.14E-09;7.29E-11;1.95E-12;;3.93E+02;1.19E+00;1.12E+03;1.97E+06;;44;1.59E+06;1.51E+04;1.13E+05;8.52E+01;1.46E-02
43;1.04E+16;2.89E+11;1.82E+13;1.12E+09;3.89E+16;259.7;0.00E+00;0.00E+00;2.44E-03;9.53E-10;6.09E-11;1.63E-12;;3.52E+02;9.88E-01;9.97E+02;1.74E+06;;43;1.80E+06;1.71E+04;1.28E+05;9.74E+01;1.65E-02
42;1.19E+16;3.65E+11;2.06E+13;5.37E+08;4.42E+16;260.2;0.00E+00;0.00E+00;1.95E-03;7.79E-10;4.98E-11;1.33E-12;;3.12E+02;8.03E-01;8.80E+02;1.53E+06;;42;2.05E+06;1.97E+04;1.47E+05;1.11E+02;1.90E-02
41;1.36E+16;4.62E+11;2.37E+13;1.67E+08;5.07E+16;258.1;0.00E+00;0.00E+00;1.53E-03;6.20E-10;3.97E-11;1.06E-12;;2.71E+02;6.53E-01;7.74E+02;1.31E+06;;41;2.36E+06;2.21E+04;1.66E+05;1.29E+02;2.15E-02
40;1.57E+16;5.75E+11;2.74E+13;1.31E+08;5.87E+16;254.5;0.00E+00;0.00E+00;1.21E-03;4.80E-10;3.07E-11;8.20E-13;;2.28E+02;5.24E-01;6.68E+02;1.09E+06;;40;2.74E+06;2.46E+04;1.88E+05;1.50E+02;2.45E-02
